"id","comment","label","language","aspect","source","duplicate_group"
"1","The manual text input works smoothly and makes the analysis feel reliable.","positive","english","manual text input","manual","unique-1"
"2","The CSV upload feels slow and needs clearer feedback.","negative","english","CSV upload","csv","unique-2"
"3","The column selection is available and performs the basic task.","neutral","english","column selection","review","unique-3"
"4","Free sentiment tool premium access for duplicate detection, click this link now.","spam","english","duplicate detection","chat","unique-4"
"5","sentiment model bahut smooth hai, analysis karna easy lagta hai.","positive","hinglish","sentiment model","survey","unique-5"
"6","spam detection thoda confusing hai, user ko clear guidance chahiye.","negative","hinglish","spam detection","test-case","unique-6"
"7","Hinglish handling normal kaam karta hai, kuch khas issue nahi mila.","neutral","hinglish","Hinglish handling","manual","unique-7"
"8","Hindi comments ke liye free paisa offer, abhi click karo.","spam","hinglish","Hindi comments","csv","unique-8"
"9","English comments बहुत अच्छा काम करता है और परिणाम साफ दिखते हैं।","positive","hindi","English comments","review","unique-9"
"10","results dashboard थोड़ा धीमा है और सुधार की जरूरत है।","negative","hindi","results dashboard","chat","unique-10"
"11","charts सामान्य तरीके से काम करता है।","neutral","hindi","charts","survey","unique-11"
"12","confidence scores के लिए मुफ्त इनाम पाने के लिए अभी लिंक खोलें।","spam","hindi","confidence scores","test-case","unique-12"
"13","I like how the word cloud is clear, fast, and easy to understand.","positive","english","word cloud","manual","unique-13"
"14","I found the comment filtering confusing during testing.","negative","english","comment filtering","csv","unique-14"
"15","I used the CSV export once and it worked in an ordinary way.","neutral","english","CSV export","review","unique-15"
"16","Win cash by reviewing backend API, claim your reward today.","spam","english","backend API","chat","unique-16"
"17","Mujhe loading progress ka flow kaafi clear aur useful laga.","positive","hinglish","loading progress","survey","unique-17"
"18","mobile layout slow lagta hai jab comments zyada hote hain.","negative","hinglish","mobile layout","test-case","unique-18"
"19","error messages theek hai, basic requirement complete ho jati hai.","neutral","hinglish","error messages","manual","unique-19"
"20","overall workflow review karo aur instant cash jeeto, link open karo.","spam","hinglish","overall workflow","csv","unique-20"
"21","manual text input उपयोग करने में आसान है और समय बचाता है।","positive","hindi","manual text input","review","unique-21"
"22","CSV upload इस्तेमाल करते समय उलझन होती है।","negative","hindi","CSV upload","chat","unique-22"
"23","column selection में जरूरी विकल्प उपलब्ध हैं।","neutral","hindi","column selection","survey","unique-23"
"24","duplicate detection पर कैश जीतें, तुरंत अपना नंबर भेजें।","spam","hindi","duplicate detection","test-case","unique-24"
"25","The sentiment model gives useful output and saves a lot of review time.","positive","english","sentiment model","manual","unique-25"
"26","The spam detection did not behave as expected with messy comments.","negative","english","spam detection","csv","unique-26"
